메뉴명,요리종류,중량,열량,탄수화물,단백질,지방,나트륨,해쉬태그,재료정보
새우 두부 계란찜,반찬,,220,3,14,17,99,연두부,"새우두부계란찜
연두부 75g(3/4모), 칵테일새우 20g(5마리), 달걀 30g(1/2개), 생크림 13g(1큰술), 설탕 5g(1작은술), 무염버터 5g(1작은술)
고명
시금치 10g(3줄기)"
우렁된장소스 배추롤,일품,,326.3,43,22.3,7.2,976,,"돼지고기(50g), 배춧잎(5장), 부추(30g), 쌀(100g), 당근(20g),
표고버섯(2개), 양파(50g), 애호박(1/2개), 우렁이(100g),
된장(30g)"
인삼떡갈비,반찬,,253.3,15,26.9,9.5,196,,"소고기(100g), 돼지고기(100g), 대추(3알), 양파(30g),
마늘(20g), 배(1/4개), 애호박(1/2개), 단호박(1/4개),
파프리카(50g), 인삼(1뿌리), 양송이(5개), 배추잎(5장),
저염간장(20g), 설탕(20g), 소금(0.2g), 후춧가루(0.01g)
두부(50g)"
초계탕과 사색곤약,반찬,,100.1,7.7,15.4,0.9,54.4,가시오가피,"닭고기(1마리), 가시오가피(10g), 대파(20g), 다시마(10g),
건새우(20g), 실곤약(100g), 비트(30g), 치자가루(10g),
마늘(20g), 소금(0.3g), 후춧가루(0.01g), 양파(50g),
오이(50g), 겨자가루(10g), 식초(20g), 설탕(20g)"
호박잎 삼계탕,일품,,314.1,53.7,16,3.9,55.9,,"호박잎(5장), 닭고기(가슴살, 120g), 찹쌀(100g), 대추(3알),
미나리(20g), 인삼(1뿌리), 소금(0.2g), 후춧가루(0.01g)"
황태미역 곤약스프,국&찌개,,124.9,3.2,14.3,6.1,790.3,,"황태채(100g), 곤약(100g), 건미역(20g), 들깨가루(20g),
두부(50g), 된장(10g), 액젓(10g), 표고버섯(1개), 마늘(10g),
참기름(5g)"
훈제오리가슴살 샐러드,반찬,,261.8,11.5,21,14.6,636,훈제오리가슴살,"오리고기(훈제오리 가슴살, 150g), 발사믹소스(50g),
양파(30g), 파슬리(5g), 블루베리(20g), 레디쉬(1개)"
훈제오리가슴살크러스트,반찬,,250,13.5,17.2,14.1,352.2,훈제오리가슴살,"오리고기(훈제오리 가슴살, 150g), 로즈마리(2g), 오렌지(1개),
새송이버섯(1개), 파슬리(5g), 땅콩(50g), 올리브오일(20g),
유자청(20g), 후춧가루(0.5g"
간장소스를 곁들인 새우전복찜,반찬,,119.1,8.2,19.2,1.1,455.9,해초,"전복(2개), 새우(3마리), 시금치(30g), 해초(20g),
저염간장(20g), 레몬(1/4개), 설탕(20g), 소금(0.1g),
마늘(10g), 녹말(10g), 식용꽃(60g)"
검은콩국수,일품,,343.6,68.1,11.2,3,633.5,메밀면,"검은콩(200g), 메밀면(120g), 오이(30g), 방울토마토(1개),
땅콩(20g), 잣(10g), 참깨(5g)"
겨자소스로 구운 산마샐러드,반찬,,112,16,3,4,144.8,돌나물,"산마(100g), 참나물(20g), 돈나물(20g), 토마토(100g),
레디쉬(1개), 어린잎(10g), 저염간장(20g), 식초(10g),
설탕(20g), 겨자가루(10g)."
닭고기김치찌개,국&찌개,,277.1,1.79,5.87,2.73,776.6,가슴살,"재료 닭가슴살(60g), 애호박(30g), 미나리(20g), 청양고추(3g), 두부(60g)
김치(120g), 참기름(20g), 느타리버섯(10g), 달걀(50g)
육수 다시마(5g), 무(40g), 대파(5g), 양파(10g), 마른 고추(3g), 멸치(10g)
마늘(10g), 청주(10g), 물(300g)"
완자김치찌개,국&찌개,,161.1,1.34,6.78,2.61,355,등심,"재료 콩나물(30g), 김치(50g)
두부(40g), 붉은 고추(15g)
다진 돼지고기(등심, 60g), 새우젓(5g)
육수 대파(10g), 마늘(5g), 쇠고기(50g)"
백김치콩비지찌개,국&찌개,,195.3,3.13,2.99,2.99,447.2,,"재료 풋고추(10g), 백김치(100g), 콩비지(100g)
양념 참기름(8g), 후춧가루(0.2g), 다진 마늘(10g), 간장(2g)"
오징어김치찌개,국&찌개,,159.1,2.5,2.4,0.7,549,,"재료 오징어(100g), 두부(50g), 팽이버섯(20g), 붉은 고추(4g)
고구마(30g), 콩나물(20g), 김치(140g), 쑥갓(20g)
육수 무(50g), 다시마(5g), 대파(20g), 멸치(10g), 물(300g)
양념 참기름(10g), 들깻가루(5g)"
